Peak ,Name ,Yr/Seas ,Date ,Time ,Citizenship ,Sex ,Age ,Oxy ,Dth ,Host 
EVER,Tenzing Norgay ,1953 Spr,29-May,11:30,India,M,39,Y,.,Nepal
EVER,Edmund Percival Hillary,1953 Spr,29-May,11:30,New Zealand,M,33,Y,.,Nepal
EVER,Juerg P. Marmet,1956 Spr,23-May,14:00,Switzerland,M,28,Y,.,Nepal
EVER,Ernst Schmied,1956 Spr,23-May,14:00,Switzerland,M,31,Y,.,Nepal
EVER,Adolf (Dolf) Reist,1956 Spr,24-May,11:00,Switzerland,M,35,Y,.,Nepal
EVER,Hans-Rudolf Von Gunten,1956 Spr,24-May,11:00,Switzerland,M,27,Y,.,Nepal
EVER,Gombu (Konbu) ,1960 Spr,25-May,2:05,China,M,25,Y,.,China
EVER,Ying-Hua Qu,1960 Spr,25-May,2:05,China,M,25,Y,.,China
EVER,Fu-Chou Wang,1960 Spr,25-May,2:05,China,M,24,Y,.,China
EVER,Nawang Gombu ,1963 Spr,1-May,13:00,India,M,26,Y,.,Nepal
EVER,James W. (Jim) Whittaker,1963 Spr,1-May,13:00,USA,M,34,Y,.,Nepal
EVER,Barry Chapman Bishop,1963 Spr,22-May,15:30,USA,M,31,Y,.,Nepal
EVER,Luther Gerald (Lute) Jerstad,1963 Spr,22-May,15:30,USA,M,26,Y,.,Nepal
EVER,Thomas Frederick Hornbein,1963 Spr,22-May,18:30,USA,M,32,Y,.,Nepal
EVER,William Francis (Willi) Unsoeld,1963 Spr,22-May,18:30,USA,M,36,Y,.,Nepal
EVER,Nawang Gombu ,1965 Spr,20-May,9:30,India,M,28,Y,.,Nepal
EVER,Autar Singh Cheema,1965 Spr,20-May,9:30,India,M,27,Y,.,Nepal
EVER,Sonam Gyatso ,1965 Spr,22-May,12:30,India,M,42,Y,.,Nepal
EVER,Sonam Wangyal ,1965 Spr,22-May,12:30,India,M,23,Y,.,Nepal
EVER,Ang Kami Sherpa,1965 Spr,24-May,10:45,India,M,0,Y,.,Nepal
EVER,C. P. Vohra,1965 Spr,24-May,10:45,India,M,30,Y,.,Nepal
EVER,Hari Pal Singh Ahluwalia,1965 Spr,29-May,10:00,India,M,27,Y,.,Nepal
EVER,Harish Chandra Singh Rawat,1965 Spr,29-May,10:00,India,M,30,Y,.,Nepal
EVER,"Phu Dorje Sherpa (Khumjung, Khumbu)",1965 Spr,29-May,10:00,Nepal,M,27,Y,.,Nepal
EVER,Teruo Matsuura,1970 Spr,11-May,9:10,Japan,M,36,Y,.,Nepal
EVER,Naomi Uemura,1970 Spr,11-May,9:10,Japan,M,29,Y,.,Nepal
EVER,Katsutoshi Hirabayashi,1970 Spr,12-May,9:55,Japan,M,35,Y,.,Nepal
EVER,"Chotare Sherpa (Namche Bazar, Khumbu)",1970 Spr,12-May,9:55,Nepal,M,37,Y,.,Nepal
EVER,Rinaldo Carrel,1973 Spr,5-May,12:39,Italy,M,21,Y,.,Nepal
EVER,Mirko Minuzzo,1973 Spr,5-May,12:39,Italy,M,26,Y,.,Nepal
EVER,"Lhakpa Tenzing Sherpa (Namche Bazar, Khumbu)",1973 Spr,5-May,12:39,Nepal,M,32,Y,.,Nepal
EVER,"Shambu Tamang (Lisankhu, Sindhupalchowk)",1973 Spr,5-May,12:39,Nepal,M,17,Y,.,Nepal
EVER,Claudio Benedetti,1973 Spr,7-May,13:00,Italy,M,27,Y,.,Nepal
EVER,Virginio Epis,1973 Spr,7-May,13:00,Italy,M,41,Y,.,Nepal
EVER,Fabrizio Innamorati,1973 Spr,7-May,13:00,Italy,M,30,Y,.,Nepal
EVER,"Sonam Gyaltzen Sherpa (Bagam, Taksindu, Solukhumbu)",1973 Spr,7-May,13:00,Nepal,M,29,Y,.,Nepal
EVER,Hisashi Ishiguro,1973 Aut,26-Oct,16:30,Japan,M,28,Y,.,Nepal
EVER,Yasuo Kato,1973 Aut,26-Oct,16:30,Japan,M,24,Y,.,Nepal
EVER,"Ang Tshering Sherpa (Namche Bazar, Khumbu)",1975 Spr,16-May,12:30,Nepal,M,25,Y,.,Nepal
EVER,Junko Tabei,1975 Spr,16-May,12:30,Japan,F,35,Y,.,Nepal
EVER,Da Phuntsok (Darphuntso) ,1975 Spr,27-May,12:15,China,M,30,Y,.,China
EVER,Kunga Pasang (Gonga Basang) ,1975 Spr,27-May,12:15,China,M,27,Y,.,China
EVER,Lhotse (Louze) ,1975 Spr,27-May,12:15,China,M,36,Y,.,China
EVER,Ngapo Khyen (Abu Qin) ,1975 Spr,27-May,12:15,China,M,18,Y,.,China
EVER,"Phantog (Phandu, Pando) ",1975 Spr,27-May,12:15,China,F,36,Y,.,China
EVER,Samdrup (Samdruk) ,1975 Spr,27-May,12:15,China,M,22,Y,.,China
EVER,Sonam Norbu ,1975 Spr,27-May,12:15,China,M,28,Y,.,China
EVER,Tsering Tobgyal ,1975 Spr,27-May,12:15,China,M,0,Y,.,China
EVER,Sheng-Fu Hou,1975 Spr,27-May,12:30,China,M,35,Y,.,China
EVER,Dougal Haston,1975 Aut,24-Sep,18:00,UK,M,33,Y,.,Nepal
EVER,Douglas Keith (Doug) Scott,1975 Aut,24-Sep,18:00,UK,M,34,Y,.,Nepal
EVER,Peter David Boardman,1975 Aut,26-Sep,13:10,UK,M,24,Y,.,Nepal
EVER,"Pertemba Sherpa (Khumjung, Khumbu)",1975 Aut,26-Sep,13:10,Nepal,M,27,Y,.,Nepal
EVER,Michael P. (Bronco) Lane,1976 Spr,16-May,15:15,UK,M,30,Y,.,Nepal
EVER,John Henry (Brummie) Stokes,1976 Spr,16-May,15:15,UK,M,30,Y,.,Nepal
EVER,Chris Howard Chandler,1976 Aut,8-Oct,16:14,USA,M,28,Y,.,Nepal
EVER,Robert (Bob) Cormack,1976 Aut,8-Oct,16:14,USA,M,30,Y,.,Nepal
EVER,Sang-Don Ko,1977 Aut,15-Sep,12:50,S Korea,M,28,Y,.,Nepal
EVER,"Pemba Nurbu/Norbu Sherpa (Namche Bazar, Khumbu)",1977 Aut,15-Sep,12:50,Nepal,M,28,Y,.,Nepal
EVER,Horst Bergmann,1978 Spr,3-May,12:50,Austria,M,36,Y,.,Nepal
EVER,Wolfgang Nairz,1978 Spr,3-May,12:50,Austria,M,33,Y,.,Nepal
EVER,Hans Robert Schauer,1978 Spr,3-May,12:50,Austria,M,24,Y,.,Nepal
EVER,"Ang Phu Sherpa (Khumjung, Khumbu)",1978 Spr,3-May,12:50,Nepal,M,27,Y,.,Nepal
EVER,Peter Habeler,1978 Spr,8-May,13:15,Austria,M,35,No,.,Nepal
EVER,Reinhold Messner,1978 Spr,8-May,13:15,Italy,M,33,No,.,Nepal
EVER,Reinhard Karl,1978 Spr,11-May,,W Germany,M,31,Y,.,Nepal
EVER,Oswald Oelz,1978 Spr,11-May,,Austria,M,35,Y,.,Nepal
EVER,Franz Oppurg,1978 Spr,14-May,,Austria,M,29,Y,.,Nepal
EVER,Josef Mack,1978 Aut,14-Oct,16:30,W Germany,M,28,Y,.,Nepal
EVER,Hubert Hillmaier,1978 Aut,14-Oct,17:00,W Germany,M,34,Y,.,Nepal
EVER,Hans Engl,1978 Aut,14-Oct,17:15,W Germany,M,34,No,.,Nepal
EVER,Jean Afanassieff,1978 Aut,15-Oct,13:35,France,M,25,Y,.,Nepal
EVER,Nicolas Jaeger,1978 Aut,15-Oct,13:35,France,M,31,Y,.,Nepal
EVER,Kurt Diemberger,1978 Aut,15-Oct,13:45,Austria,M,46,Y,.,Nepal
EVER,Pierre Mazeaud,1978 Aut,15-Oct,13:45,France,M,49,Y,.,Nepal
EVER,Robert Allenbach,1978 Aut,16-Oct,13:45,Switzerland,M,28,Y,.,Nepal
EVER,Siegfried (Sigi) Hupfauer,1978 Aut,16-Oct,13:45,W Germany,M,37,Y,.,Nepal
EVER,Wilhelm Klimek,1978 Aut,16-Oct,13:45,W Germany,M,37,Y,.,Nepal
EVER,Wanda Rutkiewicz,1978 Aut,16-Oct,13:45,Poland,F,35,Y,.,Nepal
EVER,"Ang Dorje Sherpa (Thamo, Khumbu)",1978 Aut,16-Oct,13:45,Nepal,M,29,No,.,Nepal
EVER,"Ang Kami Sherpa (Tsermadingma, Solukhumbu)",1978 Aut,16-Oct,13:45,Nepal,M,0,Y,.,Nepal
EVER,"Mingma Nuru Sherpa (Khumjung, Khumbu)",1978 Aut,16-Oct,13:45,Nepal,M,0,No,.,Nepal
EVER,Bernd Kullmann,1978 Aut,17-Oct,,W Germany,M,24,Y,.,Nepal
EVER,Georg Ritter,1978 Aut,17-Oct,,W Germany,M,31,Y,.,Nepal
EVER,Andrej Stremfelj,1979 Spr,13-May,13:51,Yugoslavia,M,22,Y,.,Nepal
EVER,Jernej (Nejc) Zaplotnik,1979 Spr,13-May,13:51,Yugoslavia,M,27,Y,.,Nepal
EVER,Stanislav (Stane) Belak-Srauf,1979 Spr,15-May,14:30,Yugoslavia,M,38,Y,.,Nepal
EVER,Stipe Bozic,1979 Spr,15-May,14:30,Yugoslavia,M,28,Y,.,Nepal
EVER,"Ang Phu Sherpa (Khumjung, Khumbu)",1979 Spr,15-May,14:30,Nepal,M,28,Y,Y,Nepal
EVER,Gerhard Schmatz,1979 Aut,1-Oct,14:00,W Germany,M,50,Y,.,Nepal
EVER,"Lhakpa Gyalzen/Gyalu Sherpa (Phortse, Khumbu)",1979 Aut,1-Oct,14:00,Nepal,M,30,Y,.,Nepal
EVER,"Pertemba Sherpa (Khumjung, Khumbu)",1979 Aut,1-Oct,14:00,Nepal,M,31,Y,.,Nepal
EVER,Johann (Hans) Von Kaenel,1979 Aut,1-Oct,14:00,Switzerland,M,38,Y,.,Nepal
EVER,Hermann Warth,1979 Aut,1-Oct,14:00,W Germany,M,38,Y,.,Nepal
EVER,Nicholas Victor Aloysius (Nick) Banks,1979 Aut,2-Oct,13:00,New Zealand,M,27,Y,.,Nepal
EVER,Tilman Fischbach,1979 Aut,2-Oct,13:00,W Germany,M,31,Y,.,Nepal
EVER,Raymond Edward (Ray) Genet,1979 Aut,2-Oct,13:00,USA,M,48,Y,Y,Nepal
EVER,Guenter Kaempfe,1979 Aut,2-Oct,13:00,W Germany,M,46,Y,.,Nepal
EVER,Hannelore Schmatz,1979 Aut,2-Oct,13:00,W Germany,F,39,Y,Y,Nepal
EVER,"Ang Jangbu (Ang Jambu) Sherpa (Pangboche, Khumbu)",1979 Aut,2-Oct,13:00,Nepal,M,21,Y,.,Nepal
EVER,"Ang Phurba Sherpa (Namche Bazar, Khumbu)",1979 Aut,2-Oct,13:00,Nepal,M,22,Y,.,Nepal
EVER,"Sungdare Sherpa (Pangboche, Khumbu)",1979 Aut,2-Oct,13:00,Nepal,M,24,Y,.,Nepal
EVER,Leszek Cichy,1979 Win,17-Feb,14:30,Poland,M,28,Y,.,Nepal
EVER,Krzysztof Wielicki,1979 Win,17-Feb,14:30,Poland,M,30,Y,.,Nepal
EVER,Yasuo Kato,1980 Spr,3-May,20:55,Japan,M,31,Y,.,China
EVER,Tsuneo Shigehiro,1980 Spr,10-May,16:50,Japan,M,32,Y,.,China
EVER,Takashi Ozaki,1980 Spr,10-May,17:02,Japan,M,27,Y,.,China
EVER,"Pasang Temba Sherpa (Ghat, Khumbu)",1980 Spr,14-May,15:30,Nepal,M,29,Y,.,Nepal
EVER,Martin Zabaleta Larburu,1980 Spr,14-May,15:30,Spain,M,30,Y,.,Nepal
EVER,Andrzej (Leszek) Czok,1980 Spr,19-May,16:00,Poland,M,31,Y,.,Nepal
EVER,Jerzy Kukuczka,1980 Spr,19-May,16:00,Poland,M,32,Y,.,Nepal
EVER,Reinhold Messner,1980 Sum,20-Aug,13:00,Italy,M,35,No,.,China
EVER,Christopher M. (Kris) Kopczynski,1981 Aut,21-Oct,11:29,USA,M,33,Y,.,Nepal
EVER,"Sungdare Sherpa (Pangboche, Khumbu)",1981 Aut,21-Oct,11:29,Nepal,M,26,Y,.,Nepal
EVER,Christopher J. (Chris) Pizzo,1981 Aut,24-Oct,12:30,USA,M,32,Y,.,Nepal
EVER,"Young/Yong Tenzing Sherpa (Namche Bazar, Khumbu)",1981 Aut,24-Oct,12:30,Nepal,M,28,Y,.,Nepal
EVER,Peter Harvey Hackett,1981 Aut,24-Oct,15:30,USA,M,33,Y,.,Nepal
EVER,Vladimir Sergeevich Balyberdin,1982 Spr,4-May,14:35,USSR,M,32,No,.,Nepal
EVER,Eduard Vikentevich Myslovsky,1982 Spr,4-May,14:35,USSR,M,44,Y,.,Nepal
EVER,Sergei Igorevich Bershov,1982 Spr,4-May,23:30,USSR,M,35,Y,.,Nepal
EVER,Mikhail Mikhailovich Turkevich,1982 Spr,4-May,23:30,USSR,M,29,Y,.,Nepal
EVER,Sergei Borisovich Efimov,1982 Spr,5-May,13:20,USSR,M,38,Y,.,Nepal
EVER,Valentin Andreevich Ivanov,1982 Spr,5-May,13:20,USSR,M,40,Y,.,Nepal
EVER,Valeri Nikolaevich Khrishchati,1982 Spr,8-May,13:40,USSR,M,30,Y,.,Nepal
EVER,Kazbek Shakimovich Valiev,1982 Spr,8-May,13:40,USSR,M,29,Y,.,Nepal
EVER,Yuri Fedorovich Golodov,1982 Spr,9-May,11:00,USSR,M,38,Y,.,Nepal
EVER,Valeri Vasipevich Khomutov,1982 Spr,9-May,11:00,USSR,M,40,Y,.,Nepal
EVER,Vladimir Nikolaevich Puchkov,1982 Spr,9-May,11:00,USSR,M,33,Y,.,Nepal
EVER,"Lhakpa Dorje Sherpa (Khunde, Khumbu)",1982 Aut,5-Oct,9:30,Nepal,M,27,Y,.,Nepal
EVER,"Sungdare Sherpa (Pangboche, Khumbu)",1982 Aut,5-Oct,9:30,Nepal,M,27,Y,.,Nepal
EVER,Laurie Skreslet,1982 Aut,5-Oct,9:30,Canada,M,32,Y,.,Nepal
EVER,Patrick (Pat) Morrow,1982 Aut,7-Oct,11:30,Canada,M,29,Y,.,Nepal
EVER,"Lhakpa Tshering Sherpa (Khunde, Khumbu)",1982 Aut,7-Oct,11:30,Nepal,M,26,Y,.,Nepal
EVER,"Pema Dorje Sherpa (Khumjung, Khumbu)",1982 Aut,7-Oct,11:30,Nepal,M,24,Y,.,Nepal
EVER,Yasuo Kato,1982 Win,27-Dec,15:55,Japan,M,33,Y,Y,Nepal
EVER,David Finlay Breashears,1983 Spr,7-May,16:00,USA,M,27,Y,.,Nepal
EVER,Peter Jamieson,1983 Spr,7-May,16:00,USA,M,27,Y,.,Nepal
EVER,Gerard A. (Gerry) Roach,1983 Spr,7-May,16:00,USA,M,39,Y,.,Nepal
EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",1983 Spr,7-May,16:00,Nepal,M,34,Y,.,Nepal
EVER,Lawrence Darius (Larry) Nielson,1983 Spr,7-May,16:20,USA,M,35,No,.,Nepal
EVER,Gary Robert Neptune,1983 Spr,14-May,13:30,USA,M,37,Y,.,Nepal
EVER,"Lhakpa Dorje Sherpa (Phortse, Khumbu)",1983 Spr,14-May,13:30,Nepal,M,25,Y,.,Nepal
EVER,James H. (Jim) States,1983 Spr,14-May,13:30,USA,M,37,Y,.,Nepal
EVER,Carlos Paltenghe Rockhold Buhler,1983 Aut,8-Oct,14:45,USA,M,28,Y,.,China
EVER,Kim A. Momb,1983 Aut,8-Oct,14:45,USA,M,27,Y,.,China
EVER,Louis French (Lou) Reichardt,1983 Aut,8-Oct,14:45,USA,M,41,Y,.,China
EVER,Haruyuki Endo,1983 Aut,8-Oct,16:30,Japan,M,26,No,.,Nepal
EVER,Haruichi Kawamura,1983 Aut,8-Oct,16:30,Japan,M,35,No,.,Nepal
EVER,Shomi Suzuki,1983 Aut,8-Oct,16:30,Japan,M,30,No,.,Nepal
EVER,Hironobu Kamuro,1983 Aut,8-Oct,16:50,Japan,M,31,No,Y,Nepal
EVER,Hiroshi Yoshino,1983 Aut,8-Oct,16:50,Japan,M,33,No,Y,Nepal
EVER,George Henry Lowe,1983 Aut,9-Oct,10:30,USA,M,39,Y,.,China
EVER,Jay L. Cassell,1983 Aut,9-Oct,14:30,USA,M,35,Y,.,China
EVER,Daniel Allen (Dan) Reid,1983 Aut,9-Oct,14:30,USA,M,41,Y,.,China
EVER,Takashi Ozaki,1983 Win,16-Dec,8:00,Japan,M,31,Y,.,Nepal
EVER,Noboru Yamada,1983 Win,16-Dec,9:00,Japan,M,33,Y,.,Nepal
EVER,Kazunari Murakami,1983 Win,16-Dec,10:30,Japan,M,28,Y,.,Nepal
EVER,"Nawang Yonden Sherpa (Beding, Dolakha)",1983 Win,16-Dec,10:30,Nepal,M,31,Y,.,Nepal
EVER,Christo Ivanov Prodanov,1984 Spr,20-Apr,18:15,Bulgaria,M,41,No,Y,Nepal
EVER,Metodi Stefanov Savov,1984 Spr,8-May,17:15,Bulgaria,M,36,Y,.,Nepal
EVER,Ivan Georgiev Valtchev,1984 Spr,8-May,17:15,Bulgaria,M,36,Y,.,Nepal
EVER,Kiril Dimitrov Doskov,1984 Spr,9-May,10:15,Bulgaria,M,25,Y,.,Nepal
EVER,Nikolay Mihaylov Petkov,1984 Spr,9-May,10:15,Bulgaria,M,25,Y,.,Nepal
EVER,Phu Dorjee Sherpa,1984 Spr,9-May,12:30,India,M,34,Y,.,Nepal
EVER,Bachendri Pal,1984 Spr,23-May,13:07,India,F,29,Y,.,Nepal
EVER,"Ang Dorje Sherpa (Thamo, Khumbu)",1984 Spr,23-May,13:07,Nepal,M,35,No,.,Nepal
EVER,Dorje Lhatoo Sherpa,1984 Spr,23-May,13:07,India,M,39,Y,.,Nepal
EVER,Sonam Palzor Sarapa,1984 Spr,23-May,13:22,India,M,40,Y,.,Nepal
EVER,Timothy John Macartney-Snape,1984 Aut,3-Oct,20:15,Australia,M,28,No,.,China
EVER,Gregory (Greg) Mortimer,1984 Aut,3-Oct,20:15,Australia,M,31,No,.,China
EVER,Zoltan Demjan,1984 Aut,15-Oct,15:15,Czechoslovakia,M,29,No,.,Nepal
EVER,Jozef Psotka,1984 Aut,15-Oct,15:15,Czechoslovakia,M,50,No,Y,Nepal
EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",1984 Aut,15-Oct,15:15,Nepal,M,36,No,.,Nepal
EVER,Philip Michael (Phil) Ershler,1984 Aut,20-Oct,15:45,USA,M,33,Y,.,China
EVER,Christian John Storey (Chris) Bonington,1985 Spr,21-Apr,9:30,UK,M,50,Y,.,Nepal
EVER,Odd Eliassen,1985 Spr,21-Apr,9:30,Norway,M,40,Y,.,Nepal
EVER,Bjorn Age Myrer-Lund,1985 Spr,21-Apr,9:30,Norway,M,33,Y,.,Nepal
EVER,"Dawa Norbu Sherpa (Yilajung, Khumbu)",1985 Spr,21-Apr,9:30,Nepal,M,27,Y,.,Nepal
EVER,"Lhakpa Dorje (Ang Lhakpa) Sherpa (Khunde, Khumbu)",1985 Spr,21-Apr,9:30,Nepal,M,26,Y,.,Nepal
EVER,"Pertemba Sherpa (Khumjung, Khumbu)",1985 Spr,21-Apr,9:30,Nepal,M,37,Y,.,Nepal
EVER,Stein P. Aasheim,1985 Spr,29-Apr,9:25,Norway,M,34,Y,.,Nepal
EVER,Ralph Hoibakk,1985 Spr,29-Apr,9:25,Norway,M,47,Y,.,Nepal
EVER,Arne Ludwig R. Naess Jr.,1985 Spr,29-Apr,9:25,Norway,M,47,Y,.,Nepal
EVER,Havard Nesheim,1985 Spr,29-Apr,9:25,Norway,M,29,Y,.,Nepal
EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",1985 Spr,29-Apr,9:25,Nepal,M,36,No,.,Nepal
EVER,"Chowang Rinzi Sherpa (Namche Bazar, Khumbu)",1985 Spr,29-Apr,9:25,Nepal,M,35,Y,.,Nepal
EVER,"Pema Dorje Sherpa (Khumjung, Khumbu)",1985 Spr,29-Apr,9:25,Nepal,M,26,Y,.,Nepal
EVER,"Sungdare Sherpa (Pangboche, Khumbu)",1985 Spr,29-Apr,9:25,Nepal,M,30,Y,.,Nepal
EVER,Richard Daniel (Dick) Bass,1985 Spr,30-Apr,,USA,M,55,Y,.,Nepal
EVER,David Finlay Breashears,1985 Spr,30-Apr,,USA,M,29,Y,.,Nepal
EVER,"Ang Phurba Sherpa (Thami, Khumbu)",1985 Spr,30-Apr,,Nepal,M,23,Y,.,Nepal
EVER,Oscar Cadiach Puig,1985 Sum,28-Aug,18:20,Spain,M,32,Y,.,China
EVER,"Ang Karma Sherpa (Dhorphu, Salleri, Solukhumbu)",1985 Sum,28-Aug,18:20,Nepal,M,26,Y,.,China
EVER,Narayan Kumar Shrestha,1985 Sum,28-Aug,18:20,Nepal,M,25,Y,.,China
EVER,Antoni Sors Ferrer,1985 Sum,28-Aug,18:20,Spain,M,35,Y,.,China
EVER,"Shambu Tamang (Lisankhu, Sindhupalchowk)",1985 Sum,28-Aug,18:20,Nepal,M,29,Y,.,China
EVER,Carles Valles Ocana,1985 Sum,28-Aug,18:20,Spain,M,27,Y,.,China
EVER,Etsuo Akutsu,1985 Aut,30-Oct,,Japan,M,47,Y,.,Nepal
EVER,Satoshi Kimoto,1985 Aut,30-Oct,,Japan,M,29,Y,.,Nepal
EVER,Hideji Nazuka,1985 Aut,30-Oct,,Japan,M,30,Y,.,Nepal
EVER,Teruo Saegusa,1985 Aut,30-Oct,,Japan,M,28,Y,.,Nepal
EVER,Mitsuyoshi Sato,1985 Aut,30-Oct,,Japan,M,24,Y,.,Nepal
EVER,Kuniaki Yagihara,1985 Aut,30-Oct,9:50,Japan,M,38,Y,.,Nepal
EVER,Noboru Yamada,1985 Aut,30-Oct,10:00,Japan,M,35,No,.,Nepal
EVER,Dwayne Congdon,1986 Spr,20-May,21:00,Canada,M,29,Y,.,China
EVER,Sharon Wood,1986 Spr,20-May,21:00,Canada,F,29,Y,.,China
EVER,Erhard Loretan,1986 Sum,30-Aug,14:30,Switzerland,M,27,No,.,China
EVER,Jean Fernand Troillet,1986 Sum,30-Aug,14:30,Switzerland,M,38,No,.,China
EVER,Young-Ho Heo,1987 Win,22-Dec,14:20,S Korea,M,33,Y,.,Nepal
EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",1987 Win,22-Dec,14:20,Nepal,M,39,No,.,Nepal
EVER,Tsering Dorje (Cerin Duoji) ,1988 Spr,5-May,9:30,China,M,27,Y,.,China
EVER,"Lhakpa Nuru (Ang Lhakpa) Sherpa (Khunde, Khumbu)",1988 Spr,5-May,9:30,Nepal,M,24,Y,.,China
EVER,Noboru Yamada,1988 Spr,5-May,9:30,Japan,M,38,Y,.,China
EVER,Zhi-Xin Li,1988 Spr,5-May,10:30,China,M,25,Y,.,China
EVER,"Lhakpa Sonam Sherpa (Phortse, Khumbu)",1988 Spr,5-May,10:45,Nepal,M,31,Y,.,China
EVER,Munehiko Yamamoto,1988 Spr,5-May,11:00,Japan,M,28,Y,.,China
EVER,Shoji Nakamura,1988 Spr,5-May,11:15,Japan,M,45,Y,.,China
EVER,Susumu Nakamura,1988 Spr,5-May,11:15,Japan,M,42,Y,.,China
EVER,Teruo Saegusa,1988 Spr,5-May,11:15,Japan,M,30,Y,.,China
EVER,Da Ciren (Da Cering) ,1988 Spr,5-May,12:48,China,M,37,Y,.,China
EVER,Rinchen Phuntsok (Rinchen Phinzo) ,1988 Spr,5-May,12:48,China,M,44,Y,.,China
EVER,"Ang Phurba Sherpa (Thami, Khumbu)",1988 Spr,5-May,12:48,Nepal,M,26,Y,.,China
EVER,"Sungdare Sherpa (Pangboche, Khumbu)",1988 Spr,10-May,,Nepal,M,33,Y,.,China
EVER,"Padam Bahadur Tamang (Chuchure, Ramechap, Janakpur)",1988 Spr,10-May,,Nepal,M,33,Y,.,China
EVER,Stephen Malcolm Westmacott Venables,1988 Spr,12-May,15:40,UK,M,34,No,.,China
EVER,Paul Bayne,1988 Spr,25-May,12:30,Australia,M,31,Y,.,Nepal
EVER,Patrick Alexander Cullinan,1988 Spr,25-May,14:30,Australia,M,37,Y,.,Nepal
EVER,John Robert Muir,1988 Spr,28-May,11:15,Australia,M,27,Y,.,Nepal
EVER,Jean-Marc Boivin,1988 Aut,26-Sep,14:30,France,M,37,Y,.,Nepal
EVER,Jean-Pierre Frachon,1988 Aut,26-Sep,14:30,France,M,41,Y,.,Nepal
EVER,Andre Georges,1988 Aut,26-Sep,14:30,Switzerland,M,35,Y,.,Nepal
EVER,Chang-Sun Kim,1988 Aut,26-Sep,14:30,S Korea,M,28,Y,.,Nepal
EVER,Michel Metzger,1988 Aut,26-Sep,14:30,France,M,39,No,.,Nepal
EVER,"Ajiwa Sherpa (Thami, Khumbu)",1988 Aut,26-Sep,14:30,Nepal,M,35,Y,.,Nepal
EVER,"Pasang Tshering/Tshiring Sherpa (Beding, Dolakha)",1988 Aut,26-Sep,14:30,Nepal,M,25,Y,.,Nepal
EVER,"Pema Dorje Sherpa (Khumjung, Khumbu)",1988 Aut,26-Sep,14:30,Nepal,M,30,Y,.,Nepal
EVER,"Sonam Tshering Sherpa (Beding, Dolakha)",1988 Aut,26-Sep,14:30,Nepal,M,28,Y,.,Nepal
EVER,Hong-Gil Um,1988 Aut,26-Sep,14:30,S Korea,M,28,Y,.,Nepal
EVER,Gerard Vionnet-Fausset,1988 Aut,26-Sep,14:30,France,M,34,Y,.,Nepal
EVER,Marc Batard,1988 Aut,26-Sep,15:30,France,M,36,No,.,Nepal
EVER,Byung-Ho Chang,1988 Aut,29-Sep,8:30,S Korea,M,27,Y,.,Nepal
EVER,Bong-Wan Jang,1988 Aut,29-Sep,8:30,S Korea,M,36,Y,.,Nepal
EVER,Seung-Kwon Chung,1988 Aut,29-Sep,10:00,S Korea,M,27,Y,.,Nepal
EVER,Stacy Marie Allison,1988 Aut,29-Sep,10:30,USA,F,29,Y,.,Nepal
EVER,"Pasang Gyalgen Sherpa (Thumbuk (Jorsali), Khumbu)",1988 Aut,29-Sep,10:40,Nepal,M,26,Y,.,Nepal
EVER,Sun-Woo Nam,1988 Aut,2-Oct,10:00,S Korea,M,33,Y,.,Nepal
EVER,"Dawa Tshering Sherpa (Gumela (Rimijung), Khumbu)",1988 Aut,2-Oct,10:00,Nepal,M,21,Y,.,Nepal
EVER,"Nima Tashi Sherpa (Pangboche, Khumbu)",1988 Aut,2-Oct,10:00,Nepal,M,28,Y,.,Nepal
EVER,"Phu Dorje Sherpa (Pangboche, Khumbu)",1988 Aut,2-Oct,10:00,Nepal,M,26,Y,.,Nepal
EVER,Geoffrey Craig Tabin,1988 Aut,2-Oct,10:00,USA,M,32,Y,.,Nepal
EVER,Peggy Luce,1988 Aut,2-Oct,11:00,USA,F,29,Y,.,Nepal
EVER,Serge Koenig,1988 Aut,13-Oct,13:15,France,M,30,Y,.,Nepal
EVER,Lhakpa Sonam Sherpa (Makalu-Barun),1988 Aut,13-Oct,13:15,Nepal,M,30,Y,Y,Nepal
EVER,Nil Bohigas Martorell,1988 Aut,14-Oct,12:50,Spain,M,30,Y,.,Nepal
EVER,Lluis Giner Arnabat,1988 Aut,14-Oct,12:50,Spain,M,25,Y,.,Nepal
EVER,Jeronimo Lopez Martinez,1988 Aut,14-Oct,12:50,Spain,M,37,Y,.,Nepal
EVER,"Ang Rita Sherpa (Yilajung, Khumbu)",1988 Aut,14-Oct,12:50,Nepal,M,40,No,.,Nepal
EVER,"Nima Rita Sherpa (Thami, Khumbu)",1988 Aut,14-Oct,12:50,Nepal,M,30,No,.,Nepal
EVER,Lydia Margaret Bakewell Bradey,1988 Aut,14-Oct,17:00,New Zealand,F,27,No,.,Nepal
EVER,Jozef Just,1988 Aut,17-Oct,13:40,Czechoslovakia,M,33,No,Y,Nepal
EVER,Stipe Bozic,1989 Spr,10-May,17:30,Yugoslavia,M,38,Y,.,Nepal
EVER,Viktor (Viki) Groselj,1989 Spr,10-May,17:30,Yugoslavia,M,36,Y,.,Nepal
